Title;Number of characters;Max Degree;Average Degree;Density;Average Path Length
1747_Schlegel,_Johann_Elias_-_Der_Triumph_der_guten_Frauen;7;6;4.29;0.71;1.29
1747_Schlegel,_Johann_Elias_-_Die_stumme_Schönheit;8;7;5.25;0.75;1.25
1748_Lessing,_Gotthold_Ephraim_-_Der_Misogyn;7;6;5.43;0.9;1.1
1748_Lessing,_Gotthold_Ephraim_-_Der_junge_Gelehrte;6;5;5.0;1.0;1.0
1748_Lessing,_Gotthold_Ephraim_-_Die_alte_Jungfer;11;10;6.91;0.69;1.31
1749_Lessing,_Gotthold_Ephraim_-_Der_Freigeist;12;10;5.33;0.48;1.56
1749_Lessing,_Gotthold_Ephraim_-_Die_Juden;7;5;4.0;0.67;1.43
1749_Lessing,_Gotthold_Ephraim_-_Samuel_Henzi;6;5;3.67;0.73;1.27
1749_Mylius,_Christlob_-_Die_Schäferinsel;8;7;6.5;0.93;1.07
1749_Rosner,_Ferdinand_-_Oberammergauer_Passionspiel;149;85;22.47;0.15;2.14
1750_Lessing,_Gotthold_Ephraim_-_Der_Schatz;8;6;3.5;0.5;1.57
1753_Klopstock,_Friedrich_Gottlieb_-_Der_Tod_Adams;14;13;8.86;0.68;1.32
1754_Neuber,_Friederike_Caroline_-_Das_Schäferfest_oder_Die_Herbstfreude;18;11;9.0;0.53;1.0
1755_Lessing,_Gotthold_Ephraim_-_D._Faust;10;9;7.4;0.82;1.18
1755_Lessing,_Gotthold_Ephraim_-_Miß_Sara_Sampson;11;7;4.36;0.44;1.75
1756_Pfeil,_Johann_Gottlob_Benjamin_-_Lucie_Woodvil;8;7;5.25;0.75;1.25
1757_Brawe,_Joachim_Wilhelm_von_-_Der_Freigeist;6;4;2.33;0.47;1.67
1757_Wieland,_Christoph_Martin_-_Lady_Johanna_Gray;15;14;5.33;0.38;1.62
1758_Cronegk,_Johann_Friedrich_von_-_Der_Mißtrauische;9;8;7.33;0.92;1.08
1759_Lessing,_Gotthold_Ephraim_-_Philotas;4;3;2.0;0.67;1.33
1759_Wieland,_Christoph_Martin_-_Klementina_von_Porretta;12;11;7.5;0.68;1.32
1762_Gessner,_Salomon_-_Evander_und_Alcimna;14;10;3.71;0.29;1.87
1762_Hafner,_Philipp_-_Mägera,_die_förchterliche_Hexe;12;9;6.5;0.59;1.55
"1763_Möser,_Justus_-_Die_Tugend_auf_der_Schaubühne;_oder:_Harlekin's_Heirath";8;7;4.5;0.64;1.36
1764_Hafner,_Philipp_-_Der_Furchtsame;12;10;7.33;0.67;1.35
1765_Hippel,_Theodor_Gottlieb_von_-_Der_Mann_nach_der_Uhr,_oder_der_ordentliche_Mann;12;11;5.17;0.47;1.53
1766_Klopstock,_Friedrich_Gottlieb_-_Hermanns_Schlacht;62;60;23.26;0.38;1.63
1766_Weiße,_Christian_Felix_-_Atreus_und_Thyest;8;7;4.25;0.61;1.39
1767_Goethe,_Johann_Wolfgang_-_Die_Laune_des_Verliebten;4;3;2.5;0.83;1.17
1767_Klemm,_Christian_Gottlob_-_Der_auf_den_Parnass_versetzte_grüne_Hut;15;9;5.73;0.41;1.22
1767_Kurz,_Joseph_von_-_Prinzessin_Pumphia;18;14;8.0;0.47;1.33
1767_Lessing,_Gotthold_Ephraim_-_Minna_von_Barnhelm,_oder_das_Soldatenglück;13;11;5.08;0.42;1.6
1767_Sturz,_Helfrich_Peter_-_Julie;11;8;4.36;0.44;1.67
1768_Gerstenberg,_Heinrich_Wilhelm_von_-_Ugolino;4;3;3.0;1.0;1.0
1768_Goethe,_Johann_Wolfgang_-_Die_Mitschuldigen;5;4;4.0;1.0;1.0
1769_Ayrenhoff,_Cornelius_Hermann_von_-_Der_Postzug_oder_die_noblen_Passionen;19;13;7.58;0.42;1.7
1770_Weiße,_Christian_Felix_-_Die_Jagd;30;23;9.47;0.33;1.76
1771_Lenz,_Jakob_Michael_Reinhold_-_Der_Hofmeister_oder_Vorteile_der_Privaterziehung;26;14;5.23;0.21;2.03
1772_Goethe,_Johann_Wolfgang_-_Faust_[in_ursprünglicher_Gestalt];18;17;17.0;1.0;1.0
1772_Lessing,_Gotthold_Ephraim_-_Emilia_Galotti;15;11;4.53;0.32;1.85
1773_Goethe,_Johann_Wolfgang_-_Das_Jahrmarktsfest_zu_Plundersweilern;30;29;29.0;1.0;1.0
1773_Goethe,_Johann_Wolfgang_-_Götter,_Helden_und_Wieland;11;10;10.0;1.0;1.0
1773_Goethe,_Johann_Wolfgang_-_Götz_von_Berlichingen_mit_der_eisernen_Hand;75;74;32.08;0.43;1.57
1773_Goethe,_Johann_Wolfgang_-_Prometheus;9;8;5.78;0.72;1.28
1773_Goethe,_Johann_Wolfgang_-_Satyros_oder_der_vergötterte_Waldteufel;15;14;9.73;0.7;1.3
1773_Lenz,_Jakob_Michael_Reinhold_-_Der_neue_Menoza;28;16;8.43;0.31;1.95
1773_Wieland,_Christoph_Martin_-_Alceste;7;6;5.14;0.86;1.14
1774_Goethe,_Johann_Wolfgang_-_Claudine_von_Villa_Bella;26;25;25.0;1.0;1.0
1774_Goethe,_Johann_Wolfgang_-_Clavigo;10;9;7.6;0.84;1.16
1774_Goethe,_Johann_Wolfgang_-_Erwin_und_Elmire;4;3;3.0;1.0;1.0
1774_Leisewitz,_Johann_Anton_-_Der_Besuch_um_Mitternacht;3;2;2.0;1.0;1.0
1774_Leisewitz,_Johann_Anton_-_Die_Pfandung;2;1;1.0;1.0;1.0
1774_Lenz,_Jakob_Michael_Reinhold_-_Die_Soldaten;42;29;8.95;0.22;2.08
1775_Brandes,_Johann_Christian_-_Ariadne_auf_Naxos;3;2;1.33;0.67;1.33
1775_Goethe,_Johann_Wolfgang_-_Egmont;29;28;14.28;0.51;1.49
1775_Gotter,_Friedrich_Wilhelm_-_Der_Dorfjahrmarkt;24;20;11.5;0.5;1.55
1775_Gotter,_Friedrich_Wilhelm_-_Medea;8;7;5.5;0.79;1.21
1775_Klinger,_Friedrich_Maximilian_-_Das_leidende_Weib;27;13;6.22;0.24;2.24
1775_Lenz,_Jakob_Michael_Reinhold_-_Der_Engländer;13;12;6.0;0.5;1.5
1775_Lenz,_Jakob_Michael_Reinhold_-_Die_Freunde_machen_den_Philosophen;19;18;6.95;0.39;1.61
1775_Lenz,_Jakob_Michael_Reinhold_-_Pandämonium_Germanicum;67;54;14.06;0.21;1.96
1775_Müller,_Friedrich_(Maler_Müller)_-_Golo_und_Genovefa;61;42;10.82;0.18;2.05
1775_Wagner,_Heinrich_Leopold_-_Die_Reue_nach_der_That;19;18;11.05;0.61;1.39
1775_Weidmann,_Paul_-_Johann_Faust;20;14;4.7;0.25;2.0
1776_Bodmer,_Johann_Jacob_-_Odoardo_Galotti,_Vater_der_Emilia;5;3;2.0;0.5;1.7
1776_Engel,_Johann_Jakob_-_Eid_und_Pflicht;13;11;5.69;0.47;1.55
1776_Goethe,_Johann_Wolfgang_-_Stella;11;10;8.18;0.82;1.18
1776_Klinger,_Friedrich_Maximilian_-_Die_Zwillinge;8;7;5.25;0.75;1.25
1776_Klinger,_Friedrich_Maximilian_-_Die_neue_Arria;24;16;6.67;0.29;1.87
1776_Klinger,_Friedrich_Maximilian_-_Simsone_Grisaldo;22;17;9.45;0.45;1.64
1776_Klinger,_Friedrich_Maximilian_-_Sturm_und_Drang;17;15;8.35;0.52;1.52
1776_Leisewitz,_Johann_Anton_-_Julius_von_Tarent;17;10;4.24;0.26;1.99
1776_Müller,_Friedrich_(Maler_Müller)_-_Fausts_Leben_dramatisiert;80;79;79.0;1.0;1.0
1776_Wagner,_Heinrich_Leopold_-_Die_Kindermörderin;14;11;6.71;0.52;1.48
1778_Goethe,_Johann_Wolfgang_-_Der_Triumph_der_Empfindsamkeit;15;11;6.53;0.47;1.62
1778_Goethe,_Johann_Wolfgang_-_Proserpina;2;1;1.0;1.0;1.0
1778_Schink,_Johann_Friedrich_-_Hanswurst_von_Salzburg_mit_dem_hölzernen_Gat;21;14;3.62;0.18;1.76
1778_Wagner,_Heinrich_Leopold_-_Voltaire_am_Abend_seiner_Apotheose;3;2;2.0;1.0;1.0
1779_Brandes,_Johann_Christian_-_Ino;8;5;3.25;0.46;1.86
1779_Goethe,_Johann_Wolfgang_-_Iphigenie_auf_Tauris;5;4;4.0;1.0;1.0
1779_Klinger,_Friedrich_Maximilian_-_Prinz_Seiden-Wurm_der_Reformator_oder_die_Kron-Kompetenten;50;28;13.96;0.28;2.12
1779_Lessing,_Gotthold_Ephraim_-_Nathan_der_Weise;17;12;4.94;0.31;1.93
1779_Schiller,_Friedrich_-_Die_Räuber;35;33;15.77;0.46;1.54
1780_Gemmingen-Hornberg,_Otto_Heinrich_von_-_Der_deutsche_Hausvater_oder_die_Familie;28;22;8.71;0.32;1.75
1780_Goethe,_Johann_Wolfgang_-_Torquato_Tasso;5;4;4.0;1.0;1.0
1780_Törring,_Josef_August_von_-_Agnes_Bernauerin;30;22;8.87;0.31;1.87
1781_Auenbrugger,_Johann_Leopold_von_-_Der_Rauchfangkehrer;35;33;12.06;0.35;1.66
1781_Bretzner,_Christoph_Friedrich_-_Belmont_und_Constanze;20;16;8.4;0.44;1.66
1782_Metastasio,_Pietro_-_Übersetzung:_Die_unbewohnte_Insel;6;5;5.0;1.0;1.0
1782_Schiller,_Friedrich_-_Die_Verschwörung_des_Fiesco_zu_Genua;44;35;8.32;0.19;2.0
1782_Schiller,_Friedrich_-_Don_Carlos,_Infant_von_Spanien;34;27;8.82;0.27;1.89
1782_Schiller,_Friedrich_-_Kabale_und_Liebe;15;9;6.27;0.45;1.7
1782_Schink,_Johann_Friedrich_-_Der_neue_Doktor_Faust;6;4;2.33;0.47;1.67
1782_Stephanie,_Johann_Gottlieb_(der_Jüngere)_-_Die_Entführung_aus_dem_Serail;20;17;8.3;0.44;1.46
1784_Iffland,_August_Wilhelm_-_Verbrechen_aus_Ehrsucht;20;15;6.7;0.35;1.76
1784_Schröder,_Friedrich_Ludwig_-_Der_Vetter_in_Lissabon;12;11;6.33;0.58;1.42
1785_Beaumarchais,_Pierre_Augustin_Caron_de_-_Figaros_Hochzeit_oder_Der_tolle_Tag;17;16;12.24;0.76;1.24
1785_Iffland,_August_Wilhelm_-_Die_Jäger;24;17;8.83;0.38;1.72
1786_Stephanie,_Johann_Gottlieb_(der_Jüngere)_-_Der_Schauspieldirektor;15;14;10.13;0.72;1.28
1786_Stephanie,_Johann_Gottlieb_(der_Jüngere)_-_Doktor_und_Apotheker;56;50;15.82;0.29;1.76
1787_Stephanie,_Johann_Gottlieb_(der_Jüngere)_-_Die_Liebe_im_Narrenhause;54;42;15.74;0.3;1.74
1788_Kotzebue,_August_von_-_Die_Indianer_in_England;25;17;8.96;0.37;1.78
1790_Ayrenhoff,_Cornelius_Hermann_von_-_Virginia_oder_das_abgeschaffte_Decemvirat;20;16;9.3;0.49;1.53
1790_Iffland,_August_Wilhelm_-_Figaro_in_Deutschland;26;22;10.92;0.44;1.57
1790_Kotzebue,_August_von_-_Menschenhaß_und_Reue;16;14;7.5;0.5;1.5
1791_Schikaneder,_Johann_Emanuel_-_Die_Zauberflöte;55;24;6.8;0.13;2.43
1792_Goethe,_Johann_Wolfgang_-_Der_Großkophta;42;30;9.67;0.24;1.79
1793_Goethe,_Johann_Wolfgang_-_Der_Bürgergeneral;7;6;5.43;0.9;1.1
1793_Goethe,_Johann_Wolfgang_-_Die_Aufgeregten;16;7;4.13;0.28;2.17
1794_Zschokke,_Heinrich_-_Abellino;20;18;10.2;0.54;1.47
1796_Iffland,_August_Wilhelm_-_Der_Spieler;24;21;10.42;0.45;1.56
