;closeness;central_character_rank;weighted_centralities_rank;degree;betweenness
EIN HERANSPRENGENDER ADJUTANT;0.3864788732394366;38.0;{'closeness': 74, 'degree': 52, 'betweenness': 21};25;0.015103177078977148
ZIETHEN;0.3570260223048327;101.0;{'closeness': 107, 'degree': 176, 'betweenness': 83};7;0.0
ZWEITER AUFWÄRTER;0.28711509715994016;161.16666666666669;{'closeness': 194, 'degree': 137, 'betweenness': 159};11;0.0
DER UNTEROFFIZIER;0.3524403669724771;109.16666666666666;{'closeness': 117, 'degree': 113, 'betweenness': 107};12;0.0
DER NEBENSTEHENDE;0.4139655172413793;112.0;{'closeness': 48, 'degree': 31, 'betweenness': 113};26;0.0
ZWEITER OFFIZIER;0.44669767441860464;120.5;{'closeness': 24, 'degree': 53, 'betweenness': 160};25;0.0
EIN ALTER MARQUIS;0.3228235294117647;160.16666666666669;{'closeness': 158, 'degree': 150, 'betweenness': 161};10;0.0
CHASSECOEUR;0.5682840236686391;3.0;{'closeness': 2, 'degree': 2, 'betweenness': 2};74;0.19316629390671308
BOURMONT;0.3524403669724771;149.16666666666669;{'closeness': 121, 'degree': 117, 'betweenness': 162};12;0.0
DRITTER PIQUEUR;0.015;164.16666666666669;{'closeness': 200, 'degree': 199, 'betweenness': 88};3;0.0
ALLE OFFIZIERE DER SUITE;0.3686756238003839;141.83333333333334;{'closeness': 99, 'degree': 86, 'betweenness': 165};17;0.0
DIE HOCHLÄNDISCHEN REGIMENTER;0.28711509715994016;167.16666666666669;{'closeness': 195, 'degree': 138, 'betweenness': 166};11;0.0
EIN POLIZEIBEAMTER;0.3888259109311741;136.16666666666666;{'closeness': 71, 'degree': 72, 'betweenness': 167};18;0.0
ZWEITER ADJUTANT (5. AKT);0.3686756238003839;144.16666666666666;{'closeness': 100, 'degree': 87, 'betweenness': 168};17;0.0
VOLK (2. AKT);0.3672657743785851;161.66666666666669;{'closeness': 104, 'degree': 184, 'betweenness': 169};7;0.0
EINER AUS DER MASSE;0.4139655172413793;129.33333333333334;{'closeness': 53, 'degree': 37, 'betweenness': 170};26;0.0
VOLK (1. AKT);0.44669767441860464;14.666666666666668;{'closeness': 26, 'degree': 5, 'betweenness': 12};50;0.05599233287455701
OBERDIREKTOR DES TELEGRAPHEN;0.29103030303030303;172.66666666666669;{'closeness': 184, 'degree': 162, 'betweenness': 171};9;0.0
ADELINE;0.28711509715994016;109.0;{'closeness': 196, 'degree': 139, 'betweenness': 172};11;0.0
EIN ENGLISCHER OBRIST;0.32336700336700336;158.83333333333331;{'closeness': 152, 'degree': 103, 'betweenness': 173};16;0.0
EINER DER KÜRASSIERE;0.3498724954462659;159.0;{'closeness': 128, 'degree': 163, 'betweenness': 174};9;0.0
DER OBERZEREMONIENMEISTER;0.2897134238310709;179.66666666666669;{'closeness': 186, 'degree': 189, 'betweenness': 175};6;0.0
EIN FRANZÖSISCHER HAUPTMANN;0.32336700336700336;160.66666666666669;{'closeness': 153, 'degree': 104, 'betweenness': 176};16;0.0
EIN FRANZÖSISCHER INFANTERIEOFFIZIER;0.3570260223048327;122.0;{'closeness': 109, 'degree': 185, 'betweenness': 177};7;0.0
BLÜCHER;0.43555555555555553;12.5;{'closeness': 31, 'degree': 18, 'betweenness': 5};32;0.09670086173629919
ERSTER JÄGER;0.3524403669724771;125.33333333333334;{'closeness': 115, 'degree': 111, 'betweenness': 91};12;0.0
OFFIZIER DER GARDEGRENADIERE ZU FUSS;0.3306024096385542;165.83333333333331;{'closeness': 136, 'degree': 140, 'betweenness': 179};11;0.0
EIN VORSTÄDTER;0.4268444444444444;32.333333333333336;{'closeness': 37, 'degree': 17, 'betweenness': 29};34;0.010950808723587075
DIE GARDE;0.4673479318734793;24.833333333333332;{'closeness': 7, 'degree': 10, 'betweenness': 18};39;0.019485120267769412
EINER AUS DEM GEFOLGE DES HERZOGS;0.3888259109311741;144.66666666666666;{'closeness': 72, 'degree': 73, 'betweenness': 180};18;0.0
EIN KLEINER OFENHEIZER;0.3228235294117647;173.16666666666669;{'closeness': 160, 'degree': 152, 'betweenness': 181};10;0.0
EIN ANKOMMENDER ADJUTANT;0.3686756238003839;153.33333333333334;{'closeness': 101, 'degree': 88, 'betweenness': 182};17;0.0
EIN ANDRER BÜRGER (3. AKT);0.3306024096385542;113.33333333333333;{'closeness': 137, 'degree': 141, 'betweenness': 183};11;0.0
DRITTER JÄGER;0.3524403669724771;163.16666666666669;{'closeness': 122, 'degree': 118, 'betweenness': 184};12;0.0
ANDERE ADJUTANTEN;0.3686756238003839;72.5;{'closeness': 93, 'degree': 79, 'betweenness': 68};17;0.0
OFFIZIER (3. Akt);0.3758904109589041;162.66666666666669;{'closeness': 87, 'degree': 142, 'betweenness': 186};11;0.0
KÖNIG LUDWIG;0.3289041095890411;45.333333333333336;{'closeness': 138, 'degree': 60, 'betweenness': 26};20;0.01105857189036243
EIN ENGLISCHER JÄGER;0.32336700336700336;117.66666666666666;{'closeness': 146, 'degree': 97, 'betweenness': 118};16;0.0
DER OFFIZIER;0.3781102362204724;56.5;{'closeness': 80, 'degree': 107, 'betweenness': 35};14;0.0009159687325516468
EIN OFFIZIER DES GENERALSTABES;0.3498724954462659;174.16666666666669;{'closeness': 129, 'degree': 165, 'betweenness': 187};9;0.0
FRITZ;0.32336700336700336;138.0;{'closeness': 151, 'degree': 102, 'betweenness': 146};16;0.0
GÖTTIN DER VERNUNFT;0.4139655172413793;141.83333333333334;{'closeness': 54, 'degree': 38, 'betweenness': 189};26;0.0
EIN KAMMERHERR;0.3758904109589041;165.66666666666669;{'closeness': 88, 'degree': 143, 'betweenness': 190};11;0.0
